WellID,Date,MethodID,CHP,THP,Temp,Choke,Qinj,Bo,Zed,SpgO,SpgGP,Rel_Oper_Press,Rel_Crit_Press,WC,Test_Oil
200,1/1/2000,9009,116.63106,73.96116,35.75634,3.25,0,1.05305,0.9960482,0.92544,0.922,0.634146341,0.5473667,0.2213754,4184.525
200,1/2/2000,9009,116.63106,73.96116,35.75518,3.25,0,1.053049,0.9960482,0.92544,0.922,0.634146341,0.5473894,0.2214613,4185.563
200,1/3/2000,9009,116.63106,73.96116,35.75402,3.25,0,1.053048,0.9960481,0.92544,0.922,0.634146341,0.5474071,0.2215473,4186.601
200,1/4/2000,9009,116.63106,73.96116,35.75286,3.25,0,1.053047,0.996048,0.92544,0.922,0.634146341,0.5474247,0.2216332,4187.638
200,1/5/2000,9009,116.63106,73.96116,35.75171,3.25,0,1.053046,0.996048,0.92544,0.922,0.634146341,0.5474423,0.2217192,4188.676
200,1/6/2000,9009,116.63106,73.96116,35.75055,3.25,0,1.053045,0.996048,0.92544,0.922,0.634146341,0.5474598,0.2218052,4189.713
200,1/7/2000,9009,116.63106,73.96116,35.74824,3.25,0,1.053043,0.9960479,0.92544,0.922,0.634146341,0.5474772,0.2218911,4190.751
200,1/8/2000,9009,116.63106,73.96116,35.74593,3.25,0,1.053041,0.9960478,0.92544,0.922,0.634146341,0.5474946,0.2219771,4191.789
200,1/9/2000,9009,116.63106,73.96116,35.74361,3.25,0,1.053039,0.9960477,0.92544,0.922,0.634146341,0.547517,0.222063,4192.826
200,1/10/2000,9009,116.63106,73.96116,35.7413,3.25,0,1.053037,0.9960476,0.92544,0.922,0.634146341,0.5475343,0.222149,4193.864
200,1/11/2000,9009,116.63106,73.96116,35.73899,3.25,0,1.053035,0.9960475,0.92544,0.922,0.634146341,0.5475516,0.222235,4194.901
200,1/12/2000,9009,116.63106,73.96116,35.73667,3.25,0,1.053033,0.9960474,0.92544,0.922,0.634146341,0.5475688,0.2223209,4195.939
200,1/13/2000,9009,116.63106,73.96116,35.73436,3.25,0,1.053031,0.9960473,0.92544,0.922,0.634146341,0.547586,0.2224069,4196.977
